x,y,obs
86,101,1.22
86,101,1.52
88,114,0.91
87,162,7.62
88,164,0.0
89,290,53.52
87,286,15.85
88,324,6.1
87,349,16.52
86,97,4.27
86,186,14.02
88,228,9.0
90,259,3.87
90,284,6.01
87,285,0.73
88,287,13.72
90,351,2.44
89,366,17.82
90,114,8.84
87,157,4.57
88,258,27.43
88,287,13.77
89,288,26.29
89,284,3.81
91,321,19.6
87,352,9.14
88,357,12.19
87,364,6.7
92,115,10.06
91,157,1.83
91,157,3.35
88,211,45.72
89,228,18.29
92,286,21.54
88,286,11.3
91,285,7.62
91,297,19.48
92,363,12.19
92,156,0.0
89,164,39.93
92,269,24.5
90,277,42.79
91,279,18.9
89,288,26.42
91,323,7.32
92,350,5.48
94,114,22.86
94,115,6.1
91,157,6.19
94,210,6.4
94,253,10.06
94,259,1.52
92,271,9.74
92,277,11.04
94,276,19.28
91,351,2.71
92,120,21.95
95,172,27.42
94,175,20.57
94,270,34.61
95,272,38.1
95,273,39.29
92,287,18.56
94,303,15.24
91,320,1.32
93,359,4.57
93,359,2.44
94,364,10.67
91,366,13.72
92,118,3.05
96,165,1.52
96,256,15.73
95,256,39.01
92,268,7.62
92,286,17.97
92,286,21.56
92,287,0.93
94,317,13.97
94,360,8.53
94,364,9.14
92,364,23.04
96,150,7.69
96,150,11.55
96,151,6.1
97,176,15.24
97,177,37.19
96,232,13.72
95,257,6.52
96,256,12.19
93,271,3.72
93,272,27.73
94,284,10.94
93,286,3.69
97,318,8.9
97,319,2.72
95,331,11.73
96,327,2.44
96,334,7.62
95,334,18.29
93,364,31.94
96,179,21.03
97,188,2.51
97,188,3.87
95,210,13.72
98,216,7.74
98,216,10.36
94,259,2.13
94,267,26.49
95,269,16.97
95,275,17.48
95,284,39.29
94,284,28.94
94,284,22.98
98,316,3.49
98,316,20.31
98,321,7.39
98,362,9.14
94,359,12.2
94,366,12.19
94,367,34.41
95,116,13.72
97,116,5.49
95,140,12.19
95,208,6.1
95,211,5.33
97,283,48.73
95,283,22.89
95,304,1.39
99,305,7.89
99,308,5.39
99,308,7.0
95,340,0.15
99,346,6.1
95,350,2.44
97,354,18.29
95,366,6.1
97,116,6.1
100,114,15.24
97,116,3.35
98,152,1.22
96,176,0.0
97,176,4.84
96,212,14.45
100,250,24.38
97,271,30.59
97,271,3.11
100,282,6.1
100,282,19.07
100,282,8.5
100,304,0.32
100,304,2.13
100,307,24.87
100,306,7.73
96,334,9.14
97,347,3.99
98,118,9.14
97,116,4.57
97,121,12.19
101,151,4.57
101,217,24.38
101,249,24.38
101,250,10.38
101,250,9.14
98,260,7.92
97,270,6.73
101,281,22.94
101,281,30.48
101,283,27.68
100,304,4.88
99,304,14.93
100,306,16.99
101,316,3.44
97,323,23.5
99,347,2.31
99,124,4.57
98,149,18.29
98,176,12.19
100,255,4.03
100,266,10.21
102,279,28.05
102,281,13.11
100,304,6.71
98,305,16.01
101,306,20.07
100,304,7.21
101,341,9.24
100,350,16.55
99,348,9.14
100,350,14.87
101,362,15.11
99,238,3.35
99,242,14.94
100,255,3.05
103,264,32.24
100,265,9.03
102,275,57.91
103,278,6.96
103,278,20.98
103,278,17.79
103,279,12.39
103,279,7.97
103,279,14.67
103,303,3.1
101,300,30.48
99,306,16.05
102,351,26.14
102,351,10.85
102,361,15.24
102,163,3.58
102,186,18.29
104,216,8.23
103,239,11.02
102,249,6.71
103,263,9.98
102,262,2.79
104,274,25.25
104,274,20.13
104,277,24.54
101,301,19.81
100,348,3.05
103,109,0.91
104,165,0.2
105,173,15.76
105,175,12.38
103,228,42.67
102,253,4.33
103,259,29.28
102,262,4.11
105,276,15.24
105,276,14.84
102,298,13.18
105,302,9.17
103,303,7.44
105,315,7.25
101,334,1.83
102,351,6.21
106,106,6.86
103,150,16.76
105,152,0.91
102,153,7.45
102,163,4.77
106,165,10.56
104,239,3.05
106,240,12.19
105,244,24.38
103,260,11.3
103,273,38.98
106,275,18.88
106,275,3.35
103,298,29.54
102,301,24.38
106,313,20.42
106,346,1.83
103,358,10.15
104,108,1.52
106,123,3.96
104,152,20.24
106,169,24.38
105,170,1.22
106,176,5.49
103,239,6.1
106,254,30.56
106,259,2.96
107,273,24.95
107,277,17.61
107,275,3.24
105,297,12.19
104,298,23.25
103,297,16.21
105,299,7.36
106,301,9.63
107,314,6.1
103,351,7.97
103,357,12.19
104,105,1.22
106,106,3.66
105,127,5.49
107,126,13.72
108,173,20.85
108,221,7.01
106,240,13.94
104,247,6.71
104,246,14.68
105,253,9.77
107,272,38.53
108,275,4.71
108,275,12.65
104,298,26.72
106,298,15.24
107,310,5.73
106,313,13.2
108,334,2.26
106,105,2.44
108,115,4.39
105,152,7.38
109,156,7.62
109,166,4.88
106,183,2.3
107,236,57.61
107,247,1.52
106,252,4.02
105,256,36.58
107,253,20.09
109,271,41.21
109,275,6.56
109,275,3.6
109,275,0.0
105,290,33.53
108,295,12.19
105,297,8.14
106,313,12.19
106,101,4.57
110,129,1.83
109,135,2.13
106,176,4.94
106,184,1.22
110,236,12.19
110,236,16.76
108,253,10.42
107,253,18.29
108,252,39.62
110,275,2.65
106,290,21.05
106,294,5.45
106,295,17.79
108,341,6.1
107,102,2.13
107,132,2.74
108,196,13.72
108,197,18.29
111,237,21.34
111,239,38.63
107,247,1.59
111,247,18.29
107,247,3.66
108,253,8.14
108,253,10.51
110,249,15.47
111,270,33.13
107,288,10.86
110,292,15.96
109,113,2.44
109,113,7.62
109,115,5.18
108,175,15.24
109,189,6.1
109,190,3.66
111,240,15.54
112,247,13.72
112,252,19.35
109,252,8.49
109,252,3.66
108,253,7.72
110,288,0.97
108,290,24.1
109,293,3.05
110,302,14.48
109,338,1.95
109,113,6.71
112,127,7.92
110,161,21.34
110,170,2.2
109,173,1.28
109,173,19.26
110,179,3.05
109,196,30.48
112,209,9.75
110,216,2.44
113,246,24.38
109,247,52.58
109,274,10.67
112,274,3.75
109,286,30.45
111,297,18.29
110,299,7.21
112,326,6.1
111,110,28.65
110,168,16.49
110,243,5.18
112,247,12.19
112,286,6.73
113,282,18.29
114,291,30.71
110,291,24.38
111,338,7.92
112,343,2.41
113,128,5.49
113,158,2.44
112,238,4.57
115,236,10.97
114,242,7.62
114,240,3.05
113,249,3.66
111,249,18.29
111,260,31.73
114,268,10.57
112,269,29.94
112,274,3.54
112,274,2.79
112,284,1.69
115,298,5.91
114,303,10.67
114,303,6.92
112,147,1.62
113,158,2.74
115,235,14.02
113,259,1.53
115,258,41.15
116,269,10.27
