,x_loc,y_loc
782,19.0,158.0
783,19.0,158.0
784,19.0,158.0
785,19.0,158.0
786,19.0,158.0
787,19.0,158.0
788,19.0,159.0
789,19.0,159.0
790,19.0,159.0
791,19.0,159.0
792,19.0,159.0
793,19.0,159.0
794,19.0,159.0
795,19.0,159.0
796,19.0,159.0
797,19.0,159.0
798,19.0,159.0
799,19.0,160.0
800,18.0,160.0
801,18.0,160.0
802,18.0,160.0
803,18.0,160.0
804,18.0,160.0
805,18.0,160.0
806,18.0,160.0
807,18.0,160.0
808,18.0,160.0
809,18.0,160.0
810,18.0,161.0
811,18.0,161.0
812,18.0,161.0
813,18.0,161.0
814,18.0,161.0
815,18.0,161.0
816,18.0,161.0
817,18.0,161.0
818,18.0,161.0
819,18.0,161.0
820,18.0,161.0
821,18.0,162.0
822,18.0,162.0
823,18.0,162.0
824,18.0,162.0
825,18.0,162.0
826,18.0,162.0
827,18.0,162.0
828,18.0,162.0
829,18.0,162.0
830,18.0,162.0
831,18.0,162.0
832,26.0,124.0
833,26.0,124.0
834,25.0,125.0
835,25.0,125.0
836,25.0,125.0
837,25.0,125.0
838,25.0,125.0
839,25.0,125.0
840,25.0,125.0
841,25.0,125.0
842,25.0,125.0
843,25.0,125.0
844,25.0,125.0
845,25.0,126.0
846,25.0,126.0
847,25.0,126.0
848,25.0,126.0
849,25.0,126.0
850,25.0,126.0
851,25.0,126.0
852,25.0,126.0
853,25.0,126.0
854,25.0,126.0
855,25.0,126.0
856,25.0,127.0
857,25.0,127.0
858,25.0,127.0
859,25.0,127.0
860,25.0,127.0
861,25.0,127.0
862,25.0,127.0
863,25.0,127.0
864,25.0,127.0
865,25.0,127.0
866,25.0,127.0
867,25.0,128.0
868,25.0,128.0
869,25.0,128.0
870,25.0,128.0
871,25.0,128.0
872,25.0,128.0
873,25.0,128.0
874,25.0,128.0
875,25.0,128.0
876,25.0,128.0
877,25.0,129.0
878,25.0,129.0
879,25.0,129.0
880,25.0,129.0
881,25.0,129.0
882,25.0,129.0
883,25.0,129.0
884,25.0,129.0
885,25.0,129.0
886,25.0,129.0
887,25.0,129.0
888,25.0,130.0
889,25.0,130.0
890,25.0,130.0
891,25.0,130.0
892,25.0,130.0
893,25.0,130.0
894,24.0,130.0
895,24.0,130.0
896,24.0,130.0
897,24.0,130.0
898,24.0,130.0
899,24.0,131.0
900,24.0,131.0
901,24.0,131.0
902,24.0,131.0
903,24.0,131.0
904,24.0,131.0
905,24.0,131.0
906,24.0,131.0
907,24.0,131.0
908,24.0,131.0
909,24.0,131.0
910,24.0,132.0
911,24.0,132.0
912,24.0,132.0
913,24.0,132.0
914,24.0,132.0
915,24.0,132.0
916,24.0,132.0
917,24.0,132.0
918,24.0,132.0
919,24.0,132.0
920,24.0,133.0
921,24.0,133.0
922,24.0,133.0
923,24.0,133.0
924,24.0,133.0
925,24.0,133.0
926,24.0,133.0
927,24.0,133.0
928,24.0,133.0
929,24.0,133.0
930,24.0,133.0
931,24.0,134.0
932,24.0,134.0
933,24.0,134.0
934,24.0,134.0
935,24.0,134.0
936,24.0,134.0
937,24.0,134.0
938,24.0,134.0
939,24.0,134.0
940,24.0,134.0
941,24.0,134.0
942,24.0,135.0
943,24.0,135.0
944,24.0,135.0
945,24.0,135.0
946,24.0,135.0
947,24.0,135.0
948,24.0,135.0
949,24.0,135.0
950,24.0,135.0
951,24.0,135.0
952,24.0,135.0
953,23.0,136.0
954,23.0,136.0
955,23.0,136.0
956,23.0,136.0
957,23.0,136.0
958,23.0,136.0
959,23.0,136.0
960,23.0,136.0
961,23.0,136.0
962,23.0,136.0
963,23.0,136.0
964,23.0,137.0
965,23.0,137.0
966,23.0,137.0
967,23.0,137.0
968,23.0,137.0
