site_name,id,value,date,lon,lat,x,y
Delaware River at Belvidere NJ,1446500,4920.0,2003-05-20,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4910.0,2003-05-21,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4750.0,2003-05-22,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4590.0,2003-05-23,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4610.0,2003-05-24,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4450.0,2003-05-25,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5910.0,2003-05-26,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8940.0,2003-05-27,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8930.0,2003-05-28,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8400.0,2003-05-29,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7610.0,2003-05-30,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6920.0,2003-05-31,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,11500.0,2003-06-01,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,27400.0,2003-06-02,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,23500.0,2003-06-03,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,20100.0,2003-06-04,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,18400.0,2003-06-05,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,16500.0,2003-06-06,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,15200.0,2003-06-07,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,18300.0,2003-06-08,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,17100.0,2003-06-09,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,14300.0,2003-06-10,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,12400.0,2003-06-11,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,12400.0,2003-06-12,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,17100.0,2003-06-13,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,17200.0,2003-06-14,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,21000.0,2003-06-15,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,18700.0,2003-06-16,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,15400.0,2003-06-17,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,13400.0,2003-06-18,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,12400.0,2003-06-19,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,12200.0,2003-06-20,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,18400.0,2003-06-21,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,38400.0,2003-06-22,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,40900.0,2003-06-23,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,31100.0,2003-06-24,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,22600.0,2003-06-25,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,17800.0,2003-06-26,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,14900.0,2003-06-27,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,13100.0,2003-06-28,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,11100.0,2003-06-29,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,9880.0,2003-06-30,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,9070.0,2003-07-01,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8200.0,2003-07-02,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7530.0,2003-07-03,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6620.0,2003-07-04,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5770.0,2003-07-05,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5530.0,2003-07-06,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5420.0,2003-07-07,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5080.0,2003-07-08,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4850.0,2003-07-09,-75.10352234,40.80571422,228,303
